"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","4.80%","Passenger",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","4.00%","Travelling Barber",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","4.00%","Train Conductor",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","3.20%","Mysterious Traveller",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","2.80%","Angry Train Staff",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","2.80%","Tonic Salesman",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","2.80%","Photographer",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","1.20%","Upper Class Lady",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","1.20%","Stuffy Banker",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","1.20%","Parlour Player",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","0.80%","Bartender",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","0.80%","Farrier",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","0.40%","Stowaway",250
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","16.07%","Steel Horse Rider",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","16.07%","Sharpshooter",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","10.71%","Mouse With No Name",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","8.93%","Dangerous Duo",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","6.25%","Train Conductor",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","4.46%","Angry Train Staff",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","4.46%","Photographer",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","4.46%","Automorat",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","4.46%","Stowaway",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","4.46%","Cannonball",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","3.57%","Travelling Barber",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","3.57%","Passenger",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","3.57%","Stoutgear",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","1.79%","Hookshot",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","1.79%","Upper Class Lady",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","1.79%","Tonic Salesman",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","0.89%","Parlour Player",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","0.89%","Farrier",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","0.89%","Bartender",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Greasy Glob","0.89%","Mysterious Traveller",112
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","16.24%","Steel Horse Rider",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","16.24%","Sharpshooter",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","13.68%","Dangerous Duo",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","9.40%","Mouse With No Name",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","5.98%","Cannonball",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","5.13%","Travelling Barber",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","5.13%","Hookshot",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","4.27%","Automorat",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","4.27%","Stoutgear",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","3.42%","Train Conductor",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","3.42%","Tonic Salesman",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","3.42%","Mysterious Traveller",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","2.56%","Angry Train Staff",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","1.71%","Upper Class Lady",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","1.71%","Stowaway",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","1.71%","Farrier",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","0.85%","Passenger",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Door Guard","0.85%","Photographer",117
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","22.64%","Sharpshooter",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","16.04%","Mouse With No Name",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","15.09%","Steel Horse Rider",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","14.15%","Dangerous Duo",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","4.72%","Automorat",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","4.72%","Stoutgear",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","3.77%","Angry Train Staff",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","2.83%","Cannonball",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","2.83%","Stowaway",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","2.83%","Parlour Player",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","1.89%","Photographer",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","1.89%","Mysterious Traveller",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","1.89%","Train Conductor",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","1.89%","Hookshot",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","0.94%","Tonic Salesman",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","0.94%","Passenger",106
"Gnawnian Express Station","Raider River (Defending Target)","SB+","Roof Rack","0.94%","Travelling Barber",106
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","19.44%","Steel Horse Rider",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","18.75%","Sharpshooter",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","12.50%","Mouse With No Name",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","11.81%","Dangerous Duo",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","6.94%","Passenger",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","4.17%","Stoutgear",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","3.47%","Angry Train Staff",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","2.78%","Automorat",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","2.78%","Travelling Barber",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","2.78%","Upper Class Lady",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","2.08%","Photographer",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","2.08%","Hookshot",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","2.08%","Farrier",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","2.08%","Stuffy Banker",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","1.39%","Bartender",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","1.39%","Train Conductor",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","1.39%","Cannonball",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","1.39%","Mysterious Traveller",144
"Gnawnian Express Station","Raider River (Defending Target)","Gouda","Greasy Glob","0.69%","Parlour Player",144
